Date,Price,Open,High,Low,Vol.,Change %,Volume
6/25/2019,415,401.49,415,395.01,0.53K,3.36%,530
6/24/2019,401.49,403.29,410.13,385.15,0.15K,-0.45%,150
6/23/2019,403.29,408.22,416.16,400.87,0.11K,-1.21%,110
6/22/2019,408.22,386.34,416.77,386.34,0.57K,5.66%,570
6/21/2019,386.34,362.44,389.88,359.13,0.62K,6.59%,620
6/20/2019,362.44,360.77,362.95,352.02,0.40K,0.46%,400
6/19/2019,360.77,352.74,361.68,342,0.48K,2.28%,480
6/18/2019,352.74,362.01,362.01,347.47,0.28K,-2.56%,280
6/17/2019,362.01,360.47,364.08,351.61,0.19K,0.43%,190
6/16/2019,360.47,359.57,368.87,351.95,0.76K,0.25%,760
6/15/2019,359.57,353.84,362.23,348.17,0.09K,1.62%,90
6/14/2019,353.84,339.59,353.84,330.22,0.29K,4.20%,290
6/13/2019,339.59,349,349,338.28,0.16K,-2.70%,160
6/12/2019,349,326.16,349,323.69,0.49K,7.00%,490
6/11/2019,326.16,325.41,328.23,313.1,0.25K,0.23%,250
6/10/2019,325.41,303.69,326.87,303.68,0.18K,7.15%,180
6/9/2019,303.69,320.05,324.36,300.68,0.29K,-5.11%,290
6/8/2019,320.05,332.84,332.84,318.02,0.38K,-3.84%,380
6/7/2019,332.84,332.96,336.11,326.5,0.22K,-0.04%,220
6/6/2019,332.96,329.58,332.96,313.15,0.33K,1.03%,330
6/5/2019,329.58,315.73,329.99,314.26,0.36K,4.39%,360
6/4/2019,315.73,330.14,330.14,310.17,0.75K,-4.36%,750
6/3/2019,330.14,356.97,356.97,330.03,0.53K,-7.52%,530
6/2/2019,356.97,350.08,359.99,346.12,0.27K,1.97%,270
6/1/2019,350.08,355.69,360.39,345.23,0.21K,-1.58%,210
5/31/2019,355.69,341.82,356.06,329.97,0.55K,4.06%,550
5/30/2019,341.82,363.19,382.62,326.01,1.04K,-5.88%,1040
5/29/2019,363.19,363.32,366,349,0.37K,-0.04%,370
5/28/2019,363.32,360.77,365.83,352.56,0.37K,0.71%,370
5/27/2019,360.77,356.87,369.9,350.03,0.90K,1.09%,900
5/26/2019,356.87,335.98,358.82,330,0.36K,6.22%,360
5/25/2019,335.98,335.01,343.98,330.41,0.16K,0.29%,160
5/24/2019,335.01,334.01,341.87,325.01,0.19K,0.30%,190
5/23/2019,334.01,331.82,335.58,310.03,0.46K,0.66%,460
5/22/2019,331.82,342.85,349.03,326.2,1.07K,-3.22%,1070
5/21/2019,342.85,342.23,353.31,332.11,0.47K,0.18%,470
5/20/2019,342.23,357.27,357.27,325,0.31K,-4.21%,310
5/19/2019,357.27,315.07,357.27,315.07,0.38K,13.39%,380
5/18/2019,315.07,330,336.97,315.06,0.45K,-4.52%,450
5/17/2019,330,357.95,359.26,305.01,1.17K,-7.91%,1170
5/16/2019,358.35,334.05,370.48,275,2.33K,7.27%,2330
5/15/2019,334.05,291.54,334.22,286,0.99K,14.58%,990
5/14/2019,291.54,260,297,250.09,0.79K,12.13%,790
5/13/2019,260,252,274.46,243.93,0.44K,3.17%,440
5/12/2019,252,258.46,274.88,246.11,0.39K,-2.50%,390
5/11/2019,258.46,233.3,275,232.65,1.33K,10.78%,1330
5/10/2019,233.3,228.4,237.57,226.47,0.52K,2.15%,520
5/9/2019,228.4,225.15,234.15,222.03,0.15K,1.44%,150
5/8/2019,225.15,225.01,230.64,220.8,0.19K,0.06%,190
5/7/2019,225.01,230,241.86,225.01,0.45K,-2.17%,450
5/6/2019,230,217.46,233.78,213.62,0.37K,5.77%,370
5/5/2019,217.46,217.75,219.65,212.64,0.06K,-0.30%,60
5/4/2019,218.11,220.72,224.8,212.46,0.14K,-1.18%,140
5/3/2019,220.72,215.76,224.32,212.5,0.61K,2.30%,610
5/2/2019,215.76,213.23,217.32,207.55,0.35K,1.19%,350
5/1/2019,213.23,215.52,218.1,210,0.33K,-1.06%,330
4/30/2019,215.52,204.42,217.83,204.42,0.24K,5.43%,240
4/29/2019,204.42,210.06,210.34,202.01,0.25K,-2.68%,250
4/28/2019,210.06,213.78,213.78,205.12,0.15K,-1.74%,150
4/27/2019,213.78,208.07,216.18,207.03,0.17K,2.74%,170
4/26/2019,208.07,208.78,237.5,201.32,0.98K,-0.34%,980
4/25/2019,208.78,223.29,227.82,201,0.92K,-6.50%,920
4/24/2019,223.29,229.76,232.74,220,0.38K,-2.82%,380
4/23/2019,229.76,229.49,237.92,227.89,0.98K,0.12%,980
4/22/2019,229.49,230.01,234.02,226.53,0.40K,-0.23%,400
4/21/2019,230.01,234.28,235.49,225.11,0.19K,-1.82%,190
4/20/2019,234.28,235.16,238,232.03,0.32K,-0.37%,320
4/19/2019,235.16,234.07,236.98,230.96,0.11K,0.47%,110
4/18/2019,234.07,222.54,237.89,222.54,0.19K,5.18%,190
4/17/2019,222.54,225,226.25,220.99,0.19K,-1.09%,190
4/16/2019,225,215.72,225,214.79,0.17K,4.30%,170
4/15/2019,215.72,223.04,226.16,210.95,0.29K,-3.28%,290
4/14/2019,223.04,220.95,226.23,217.47,0.29K,0.95%,290
4/13/2019,220.95,221.14,222.76,216.93,0.09K,-0.09%,90
4/12/2019,221.14,223.07,224.2,215.42,0.24K,-0.87%,240
4/11/2019,223.07,236.55,239.55,215.35,1.00K,-5.70%,1000
4/10/2019,236.55,233.4,249.23,230.66,0.39K,1.35%,390
4/9/2019,233.4,238.13,239.05,231,0.45K,-1.99%,450
4/8/2019,238.13,230.6,244.93,227.71,1.00K,3.27%,1000
4/7/2019,230.6,218.98,231.01,218.5,0.24K,5.31%,240
4/6/2019,218.98,219.95,226.82,213.6,0.55K,-0.44%,550
4/5/2019,219.95,206,221.2,203.6,0.91K,6.77%,910
4/4/2019,206,208.58,210.48,192,0.67K,-1.24%,670
4/3/2019,208.58,218.06,233.3,198.25,1.94K,-4.35%,1940
4/2/2019,218.06,186.78,218.06,160,2.39K,16.75%,2390
4/1/2019,186.78,188.31,190.44,179.1,1.04K,-0.81%,1040
3/31/2019,188.31,189.81,190.23,186.73,0.47K,-0.79%,470
